City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Broken Hill,AU,2021-02-07 08:48:37,-31.95,141.4333,78.8,31,0,14.97
59,Pisco,PE,2021-02-07 08:39:25,-13.7,-76.2167,71.6,83,100,4.61
60,Georgetown,MY,2021-02-07 08:40:14,5.4112,100.3354,91.4,62,20,11.5
61,Upernavik,GL,2021-02-07 08:39:42,72.7868,-56.1549,21.54,79,100,6.02
62,Tuktoyaktuk,CA,2021-02-07 08:39:39,69.4541,-133.0374,-14.64,87,100,17.36
63,Port-Gentil,GA,2021-02-07 08:39:58,-0.7193,8.7815,77.0,94,75,4.61
64,Asau,RO,2021-02-07 08:40:16,46.4333,26.4,28.99,74,98,4.63
65,Pontes E Lacerda,BR,2021-02-07 08:48:38,-15.2261,-59.3353,66.24,84,44,1.88
66,Klaksvik,FO,2021-02-07 08:40:34,62.2266,-6.589,35.6,60,40,18.41
67,Kavieng,PG,2021-02-07 08:39:47,-2.5744,150.7967,83.7,75,58,8.5
68,Akyab,MM,2021-02-07 08:48:38,20.15,92.9,81.05,41,0,20.0
69,Fillan,NO,2021-02-07 08:48:38,63.6064,8.9696,21.2,86,40,13.8
70,Sao Filipe,CV,2021-02-07 08:40:32,14.8961,-24.4956,68.88,71,19,16.31
71,Kulhudhuffushi,MV,2021-02-07 08:48:38,6.6221,73.07,81.45,74,65,11.25
72,Ilulissat,GL,2021-02-07 08:39:59,69.2167,-51.1,28.4,40,0,25.32
73,Sept-Iles,CA,2021-02-07 08:48:39,50.2001,-66.3821,21.2,68,15,16.11
74,Qaanaaq,GL,2021-02-07 08:39:43,77.484,-69.3632,11.48,89,100,1.23
75,Atuona,PF,2021-02-07 08:39:40,-9.8,-139.0333,79.45,76,85,22.73
76,Tabuk,PH,2021-02-07 08:40:20,17.4189,121.4443,80.13,80,81,5.35
77,Victoria,HK,2021-02-07 08:36:24,22.2855,114.1577,78.8,34,0,6.91
78,Faya,SA,2021-02-07 08:40:07,18.3851,42.4509,64.4,48,20,9.22
79,Mount Gambier,AU,2021-02-07 08:39:07,-37.8333,140.7667,60.8,63,90,16.11
80,Mostovskoy,RU,2021-02-07 08:48:39,44.4122,40.7936,29.66,96,100,5.53
81,Tapiogyorgye,HU,2021-02-07 08:48:39,47.335,19.9528,34.0,100,90,11.5
82,Kapaa,US,2021-02-07 08:39:50,22.0752,-159.319,62.6,77,1,8.05
83,Scarborough,GB,2021-02-07 08:48:29,54.2797,-0.4044,34.0,77,100,8.99
84,Paamiut,GL,2021-02-07 08:48:40,61.994,-49.6678,32.61,82,100,7.0
85,Lompoc,US,2021-02-07 08:39:45,34.6391,-120.4579,54.0,100,90,4.61
86,Viedma,AR,2021-02-07 08:48:40,-40.8135,-62.9967,55.99,85,95,14.61
87,Alizai,PK,2021-02-07 08:48:40,33.5383,70.3462,67.51,24,0,4.97
88,Narsaq,GL,2021-02-07 08:48:40,60.9167,-46.05,39.2,38,75,44.87
89,Geraldton,AU,2021-02-07 08:39:38,-28.7667,114.6,75.2,64,90,20.71
90,Dieppe,FR,2021-02-07 08:48:40,49.75,1.1667,36.0,88,99,10.07
91,Torbay,CA,2021-02-07 08:39:54,47.6666,-52.7314,34.0,80,90,26.46
92,Kodiak,US,2021-02-07 08:39:33,57.79,-152.4072,26.6,63,1,5.75
93,Usinsk,RU,2021-02-07 08:48:41,65.9939,57.5281,-27.35,84,100,17.29
94,Yellowknife,CA,2021-02-07 08:39:36,62.456,-114.3525,-43.01,66,1,3.44
95,Lleida,ES,2021-02-07 08:48:41,41.6167,0.6167,43.0,87,20,12.66
96,Los Arcos,PH,2021-02-07 08:48:41,8.6328,125.9856,74.98,94,100,1.5
97,Cape Town,ZA,2021-02-07 08:35:04,-33.9258,18.4232,75.0,56,40,21.85
