City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
633,Cairns,AU,80.01,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
638,Palmas Bellas,PA,86.0,few clouds,9.2319,-80.0867,Estación de Chagres
639,Pedernales,DO,84.87,few clouds,18.0384,-71.744,Hotel Costa Marina
641,Muli,MV,81.54,clear sky,2.9167,73.5667,Medhufushi Island Resort
644,Tevaitoa,PF,81.34,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
647,Lorengau,PG,82.18,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
653,Colombo,LK,77.0,clear sky,6.9319,79.8478,Galle Face Hotel
664,Caibarien,CU,87.8,scattered clouds,22.5206,-79.4669,La Nena
674,Fayaoue,NC,79.93,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
676,Ixtapa,MX,75.2,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
685,Guaymas,MX,77.0,scattered clouds,27.9333,-110.9,Holiday Inn Express Guaymas
687,Panalingaan,PH,77.85,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
688,Pochutla,MX,84.0,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
690,Sambava,MG,77.29,light rain,-14.2667,50.1667,Melrose
694,Nhulunbuy,AU,78.8,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
695,Eyl,SO,75.16,clear sky,7.9803,49.8164,Amiin Hotel
701,San Policarpo,PH,79.97,moderate rain,12.1791,125.5072,JM Lodge
702,Pirajui,BR,84.2,clear sky,-21.9986,-49.4572,Pirajuí Plaza Hotel
707,Katherine,AU,75.2,overcast clouds,-14.4667,132.2667,Pine Tree Motel
708,Lujan,AR,89.01,clear sky,-34.5703,-59.105,Hotel Biarritz
712,Samana,DO,87.8,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
715,Ratnagiri,IN,75.79,few clouds,16.9833,73.3,Hotel Landmark
725,Mercedes,AR,90.0,clear sky,-34.6515,-59.4307,Posada del Inti Centro
