City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Georgetown,MY,5.4112,100.3354,80.01,83,20,2.3,few clouds
79,Victoria,HK,22.2855,114.1577,66.0,83,0,4.0,clear sky
80,Bahia Honda,CU,22.9036,-83.1592,76.71,78,12,7.16,few clouds
81,Tahoua,NE,14.8888,5.2692,73.11,15,100,11.54,overcast clouds
82,Evensk,RU,61.95,159.2333,14.0,93,100,40.85,light snow
83,Bilma,NE,18.6853,12.9164,64.94,23,99,6.62,overcast clouds
84,Vyazemskiy,RU,47.5378,134.7525,-11.24,87,60,11.32,broken clouds
85,Marsa Matruh,EG,31.3525,27.2453,51.8,87,0,9.22,clear sky
86,Talnakh,RU,69.4865,88.3972,-18.44,75,17,2.37,few clouds
87,Stromness,GB,58.965,-3.296,33.8,60,90,14.97,overcast clouds
88,Margate,GB,51.3813,1.3862,30.99,77,100,8.99,light snow
89,Port Blair,IN,11.6667,92.75,76.95,81,12,12.44,few clouds
90,Atuona,PF,-9.8,-139.0333,79.7,74,22,20.67,few clouds
91,Jamestown,US,42.097,-79.2353,12.99,79,90,12.66,light snow
92,Chapais,CA,49.7834,-74.8492,12.2,85,90,6.91,overcast clouds
93,Shitkino,RU,56.3703,98.3543,22.21,95,61,5.77,broken clouds
94,Saskylakh,RU,71.9167,114.0833,-36.94,79,32,12.73,scattered clouds
95,Havoysund,NO,70.9963,24.6622,24.8,80,90,17.27,snow
96,Kruisfontein,ZA,-34.0033,24.7314,64.99,90,90,1.99,overcast clouds
97,Kawalu,ID,-7.3817,108.2082,73.99,86,95,4.7,overcast clouds
98,Vanimo,PG,-2.6741,141.3028,83.48,70,100,3.71,overcast clouds
99,Dawlatabad,AF,36.4141,64.9053,52.79,48,62,3.18,broken clouds
100,Kautokeino,NO,69.0125,23.0412,6.12,91,51,5.32,broken clouds
101,Krumovgrad,BG,41.4667,25.65,57.99,10,99,8.86,overcast clouds
102,Viedma,AR,-40.8135,-62.9967,60.01,65,66,11.01,broken clouds
103,Ribeira Grande,PT,38.5167,-28.7,59.04,77,66,13.87,broken clouds
104,Lasa,IT,46.6166,10.7002,39.0,93,90,6.91,light snow
105,Namatanai,PG,-3.6667,152.4333,85.19,68,96,4.9,light rain
106,Semey,KZ,50.4111,80.2275,26.6,86,75,11.18,snow
107,East London,ZA,-33.0153,27.9116,71.46,82,95,9.73,light rain
108,Kahului,US,20.8947,-156.47,78.8,53,40,12.66,scattered clouds
109,New Norfolk,AU,-42.7826,147.0587,61.0,71,67,1.01,broken clouds
110,Mildura,AU,-34.2,142.15,66.99,51,0,9.22,clear sky
111,Qui Nhon,VN,13.7667,109.2333,71.92,86,100,7.65,overcast clouds
112,Magistralnyy,RU,56.1725,107.4458,20.52,96,100,6.69,overcast clouds
113,Yar-Sale,RU,66.8333,70.8333,-11.15,90,100,22.32,light snow
114,Tarauaca,BR,-8.1614,-70.7656,76.64,92,84,2.01,broken clouds
115,Nanakuli,US,21.3906,-158.1547,78.8,41,40,9.22,scattered clouds
116,Cap Malheureux,MU,-19.9842,57.6142,75.99,87,24,1.99,few clouds
117,Bozova,TR,37.3625,38.5267,48.2,71,0,5.75,clear sky
118,Itarema,BR,-2.9248,-39.9167,80.55,78,2,14.12,clear sky
119,Kapaa,US,22.0752,-159.319,73.99,56,1,5.75,clear sky
120,Villa Bruzual,VE,9.3328,-69.1208,82.4,48,73,2.68,broken clouds
